Year,Electricity Generation (GWh)
2000,15555758.587946242
2001,15665943.05494624
2002,16273848.889946241
2003,16859228.13894624
2004,17622868.38561024
2005,18383776.80101624
2006,19093941.75792824
2007,19912295.504997242
2008,20328954.617610242
2009,20233211.655506242
2010,21581716.496799108
2011,22308967.45092306
2012,22859248.020042554
2013,23504116.185241148
2014,23852178.81002667
2015,24265117.906854425
2016,24910348.017726496
2017,25723261.089212958
2018,26672579.6480464
2019,27080318.494672
2020,27024524.560672
2021,28405379.041055348
2022,29152003.985475685
2023,29867182.286864
